Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
China,Hubei,Wuhan,Wuhan Wushang Moore & IMAX,1.90:1,IMAX Cola,1.90:1,No,21.34 m,11.10 m,Unk
China,Hunan,Changsha,Changsha Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.42 m,11.51 m,Unk
China,Jiangsu,Jingjiang City,Jingjiang In City CGV & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Unk
China,Jiangsu,Nanjing,Nanjing Unimall Omnijoi & IMAX,1.90:1,IMAX Cola,1.90:1,No,21.92 m,11.45 m,Unk
China,Jiangsu,Suzhou,Kunshan MixC & IMAX,1.90:1,IMAX Cola,1.90:1,No,23.84 m,12.30 m,Unk
China,Jiangsu,Wuxi,Wuxi Livat Jinyi & IMAX,1.90:1,IMAX Cola,1.90:1,No,23.22 m,12.68 m,Unk
China,Jiangsu,Wuxi,Wuxi Big World & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.82 m,10.83 m,Unk
China,Jiangsu,Wuxi,Wuxi Yaohan CGV & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.34 m,10.73 m,Unk
China,Jiangsu,Wuxi,Wuxi Jiangnan Joy City Big World & IMAX,1.90:1,IMAX Cola,1.90:1,No,25.00 m,13.00 m,Unk
China,Jiangxi,Nanchang,Nanchang MixC & IMAX,1.90:1,IMAX Cola,1.90:1,No,17.98 m,9.44 m,Unk
China,Liaoning,Dalian,Dalian Jingkai Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.01 m,11.51 m,Unk
China,Liaoning,Shenyang,Shenyang Olympic Wanda IMAX,1.90:1,IMAX Cola,1.90:1,No,22.19 m,11.61 m,Unk
China,Inner Mongolia,Hohhot,Hohhot East Xinhua Road Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,21.24 m,10.87 m,Unk
China,Shandong,Jinan,Jinan Gaoxin Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,23.02 m,11.85 m,Unk
China,Shandong,Jinan,Jinan MixC & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.85 m,11.73 m,Unk
China,Shandong,Qingdao,Qingdao Wanda CBD Cinema IMAX,1.90:1,IMAX Cola,1.90:1,No,21.20 m,11.00 m,Unk
China,Shanghai,Baoshan,Wanda Shanghai Baoshan & IMAX,1.90:1,IMAX Cola,1.90:1,No,20.05 m,10.48 m,Unk
China,Shanghai,Hongkou,Jinyi Cinema & IMAX,1.90:1,IMAX Cola,1.90:1,No,17.82 m,8.44 m,Unk
China,Shanghai,Huangpu,Shanghai One East Palace & IMAX,1.90:1,IMAX Cola,1.90:1,No,19.49 m,10.11 m,Unk
China,Shanghai,Jing'an,Shanghai Daning IMIX Park Hoyts & IMAX,1.90:1,IMAX Cola,1.90:1,No,25.88 m,13.46 m,Unk
China,Shanghai,Jinshan,Shanghai Jinshan Wanda & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,23.16 m,12.10 m,Unk
China,Shanxi,Taiyuan,Taiyuan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,26.51 m,14.06 m,Unk
China,Shanxi,Taiyuan,Taiyuan MixC & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.85 m,11.86 m,Unk
China,Sichuan,Chengdu,Chengdu MixC Ph2 Broadway & IMAX,1.90:1,IMAX Cola,1.90:1,No,24.52 m,12.80 m,Unk
China,Sichuan,Chengdu,Chengdu Shin Kong Plaza Emperor & IMAX,1.90:1,IMAX Cola,1.90:1,No,23.87 m,12.46 m,Unk
China,Yunnan,Kunming,Kunming Xishan Wanda & IMAX,1.90:1,IMAX Cola,1.90:1,No,22.13 m,11.66 m,Unk
China,Zhejiang,Ningbo,Ningbo MixC & IMAX,1.90:1,IMAX Cola,1.90:1,No,25.88 m,13.92 m,Unk
China,Beijing,Chaoyang,China National Film Museum & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,30.17 m,19.51 m,Unk
China,Beijing,Tongzhou,Universal Beijing Resort Universal City Walk & IMAX,N/A,IMAX Cola,1.90:1,No,0 m,0 m,Unk
China,Guangdong,Dongguan,Dongguan Wanda & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,32.06 m,19.51 m,Unk
China,Guangdong,Guangzhou,Guangzhou Rock Square Flying & IMAX,N/A,IMAX Cola,1.90:1,No,0 m,0 m,Unk
China,Guangdong,Maoming,Maoming Donghui & IMAX,N/A,IMAX Cola,1.90:1,No,0 m,0 m,Unk
China,Guangdong,Shenzhen,Shenzhen Longgang Tian An MixC & IMAX,N/A,IMAX Cola,1.90:1,No,0 m,0 m,Unk
China,Heilongjiang,Harbin,Harbin Tai Lai Era & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,28.65 m,21.30 m,Unk
China,Heilongjiang,Harbin,Harbin MixC & IMAX,N/A,IMAX Cola,1.90:1,No,0 m,0 m,Unk
China,Hubei,Wuhan,Wuhan Wushang Dream Plaza Moore & IMAX,N/A,IMAX Cola,N/A,No,0 m,0 m,Unk
China,Liaoning,Shenyang,"IMAX, Liaoning Science & Technology Museum",1.43:1,IMAX GT Laser,1.43:1,No,28.98 m,22.00 m,Unk
China,Shandong,Jinan,Shandong Science & Technology Museum,N/A,IMAX GT Laser,N/A,No,0 m,0 m,Unk
China,Yunnan,Kunming,Kunming Panxing Dadu LLC & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,23.10 m,17.37 m,Unk
China,Beijing,Chaoyang,"IMAX 3D, China Science & Technology Museum",1.43:1,N/A,N/A,IMAX GT3D 15/70 mm,29.58 m,21.93 m,Unk
China,Beijing,Chaoyang,"IMAX Dome, China Science & Technology Museum",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,30 m,0 m,Unk
China,Chongqing,Jiangbei,"IMAX, Chongqing Science & Technology Museum",1.43:1,N/A,N/A,IMAX SR 15/70 mm,22.00 m,16.00 m,Unk
China,Chongqing,Yuzhong,"IMAX Dome, Chongqing Children's Museum",Dome 1.43:1,N/A,N/A,IMAX SR Dome 15/70 mm,18 m,0 m,Unk
China,Guangdong,Dongguan,"IMAX Dome, Dongguan Science & Technology Museum",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,18 m,0 m,Unk
China,Heilongjiang,Daqing,"IMAX, Da Qing Science & Technology Museum",Dome 1.43:1,N/A,N/A,IMAX SR Dome 15/70 mm,18 m,0 m,Unk
China,Heilongjiang,Harbin,"IMAX, Heilongjiang Science & Technology Center",Dome 1.43:1,N/A,N/A,IMAX SR Dome 15/70 mm,0 m,0 m,Unk
China,Jiangsu,Nanjing,"IMAX, Nanjing Juvenile Science & Technology Center",Dome 1.43:1,N/A,N/A,IMAX SR Dome 15/70 mm,21 m,0 m,Unk
China,Shanghai,Pudong,"IMAX Dome, Shanghai Science & Technology Museum",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,23.0 m,0 m,Unk
China,Shanghai,Pudong,"IMAX 3D, Shanghai Science & Technology Museum",1.43:1,N/A,N/A,IMAX GT3D 15/70 mm,24.3 m, 18.3 m,Unk
